City,Gym_URL,Address
istanbul,https://www.macfit.com/kulupler/istanbul/sancaktepe/macfit-sancaktepe-metrolife,"Abdurrahmangazi Mah. Ebubekir Cad. G Blok No:14, 34887 Sancaktepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sancaktepe/macfit-sancaktepe-rings-avm,"Veysel Karani, Osmangazi Cd. No:158 Sancaktepe/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macfit-42-maslak,"42 Maslak Ahi Evran Cad. No:6, 34486 Maslak/Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macone-istinye,"İstinye Mah., Boğaziçi Sitesi No:2, 34460 Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macstudio-42-maslak,"Maslak, Ahi Evran Cad. 34485 Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macfit-maslak-1453,"Maslak Mah. Söğütözü Sok. No:20, 34398 Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macone-ormanada,"Uskumruköy Mah. Yorgancı Çiftliği Mevkii Zekeriyaköy, 34450 Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sariyer/macone-vadistanbul,"Ayazağa Mah., Cendere Cad. 109/C, 34396 Sarıyer/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-bomonti,"Cumhuriyet Mah., Silahşör Cad., Yeniyol Sok. No:2 Bomonti/Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macfit-cevahir,"Cevahir AVM 19 Mayıs Mah.,
Büyükdere Cad. 136/22,
34100 Şişli/İstanbul"
istanbul,https://www.macfit.com/kulupler/istanbul/sisli/macone-citys-nisantasi,City’s AVM Teşvikiye Cd. No:12 Şişli/İstanbul
